,0,1,2,3,4,5,6,7,8,9
0,spam,mail,attack,messag,email,system,page,secur,mobil,rate
1,social,media,inform,misinform,twitter,content,user,platform,tweet,analysi
2,model,network,spread,rumor,inform,propag,social,dynam,control,node
3,rumour,market,food,consum,product,stock,cost,price,trade,impact
4,coupl,lie,pathway,poison,toler,pseudo,scandal,gate,hotspot,beij
5,patient,medic,treatment,publish,clinic,case,report,disord,articl,journal
6,cyber,youth,cyberbulli,aggress,self,trait,person,relationship,answer,dark
7,inform,student,studi,research,educ,literaci,univers,particip,social,find
8,inform,commun,manag,risk,care,health,provid,need,use,respons
9,troll,studi,onlin,use,bulli,behavior,measur,analysi,data,indic
10,review,user,research,use,base,data,inform,onlin,develop,paper
11,contracept,random,formula,graph,call,station,time,nuclear,protocol,accid
12,detect,spam,propos,method,base,featur,model,learn,use,algorithm
13,game,level,interact,echo,book,chamber,liquid,dietari,micro,smoke
14,misinform,effect,memori,particip,correct,fals,inform,test,studi,belief
15,video,women,adolesc,victim,youtub,gender,school,score,sexual,year
16,particl,sourc,mass,speci,size,singl,aerosol,concentr,period,observ
17,covid,health,pandem,studi,public,inform,misinform,prevent,peopl,risk
18,children,parent,cell,interview,child,famili,mother,report,studi,trial
19,imag,visual,instagram,panic,advertis,buy,project,forest,densiti,tag
20,energi,sensor,island,rout,flood,christian,renew,entropi,cryptocurr,protocol
21,polit,media,elect,ideolog,right,russian,campaign,social,speech,onlin
22,fish,surfac,environment,estim,field,water,area,land,catch,region
23,vaccin,hesit,accept,barrier,commun,uptak,health,immun,concern,includ
24,perpetr,urban,fatal,taiwan,domest,middl,diplomaci,opioid,asian,entri
25,news,fake,media,inform,credibl,social,share,fact,studi,trust
26,scienc,scientif,knowledg,polici,climat,public,evid,expert,access,scientist
27,comment,signal,blog,emiss,linguist,film,coal,humor,annual,biomass
28,disinform,articl,commun,public,digit,govern,research,case,state,polit
29,rumor,social,abort,event,attent,inform,weibo,microblog,model,refut
