,venue,count
0,physica a: statistical mechanics and its applications,96
1,ieee access,83
2,international journal of environmental research and public health,68
3,vaccine,65
4,plos one,58
5,computers in human behavior,44
6,expert systems with applications,39
7,journal of medical internet research,37
8,procedia computer science,35
9,information processing & management,35
10,social science & medicine,28
11,profesional de la informacion,26
12,personality and individual differences,25
13,information sciences,25
14,international journal of disaster risk reduction,23
15,frontiers in public health,23
16,security and communication networks,23
17,revista latina de comunicacion social,22
18,public relations review,22
19,vaccines,21
20,frontiers in psychology,21
21,journal of applied research in memory and cognition,21
22,digital journalism,21
23,future internet,20
24,knowledge-based systems,19
25,publications,19
26,health communication,19
27,heliyon,18
28,social media + society,18
29,journalism practice,18
30,children and youth services review,17
31,complexity,17
32,new media and society,17
33,journalism,17
34,media and communication,16
35,applied cognitive psychology,16
36,memory,15
37,historia y comunicacion social,15
38,feminist media studies,15
39,proceedings of the national academy of sciences of the united states of america,15
40,applied soft computing,14
41,applied sciences-basel,14
42,new media & society,14
43,sensors,13
44,computers & security,13
45,journal of adolescent health,13
46,patient education and counseling,12
47,journal of african media studies,12
48,acta psychologica,12
49,acm transactions on asian and low-resource language information processing,12
50,technology in society,12
51,information communication & society,11
52,online social networks and media,11
53,preventive medicine,11
54,societies,11
55,contraception,11
56,information,11
57,procedia - social and behavioral sciences,11
58,new scientist,11
59,peerj computer science,11
60,proceedings of the acm on human-computer interaction,10
61,international journal of advanced computer science and applications,10
62,discrete dynamics in nature and society,10
63,ieee internet computing,10
64,human vaccines and immunotherapeutics,10
65,international journal of information management,10
66,ieee transactions on computational social systems,10
67,science,10
68,journal of adolescence,10
69,journal of intelligent and fuzzy systems,10
70,multimedia tools and applications,10
71,telematics and informatics,10
72,journal of language and politics,10
73,information (switzerland),9
74,neurocomputing,9
75,applied mathematics and computation,9
76,soft computing,9
77,american journal of public health,9
78,journal of the association for information science and technology,9
79,international journal of modern physics c,9
80,journal of network and computer applications,9
81,chinese physics b,9
82,government information quarterly,9
83,concurrency and computation: practice and experience,9
84,ksii transactions on internet and information systems,9
85,journal of information science,9
86,frontiers in communication,9
87,atmospheric environment,9
88,american behavioral scientist,9
89,jmir formative research,8
90,international journal of medical informatics,8
91,journal of affective disorders,8
