,LIS journal,count
0,publications,16
1,government information quarterly,9
2,journal of information science,8
3,international journal of information management,8
4,journal of the association for information science and technology,8
5,online information review,7
6,profesional de la informacion,6
7,library & information science research,5
8,ieee transactions on information forensics and security,4
9,social science computer review,4
10,electronic library,4
11,journal of health communication,4
12,information communication and society,3
13,journal of documentation,3
14,reference services review,3
15,communications in information literacy,3
16,journal of information technology and politics,2
17,information and learning science,2
18,personal and ubiquitous computing,2
19,portal-libraries and the academy,2
20,journal of information technology & politics,2
21,library hi tech,2
22,telecommunications policy,2
23,journal of information security and applications,2
24,desidoc journal of library and information technology,2
25,information technology and people,2
26,journal of librarianship and information science,2
27,"global knowledge, memory and communication",2
28,journal of academic librarianship,2
29,aslib journal of information management,2
30,scientometrics,1
31,libri-international journal of libraries and information studies,1
32,information and learning sciences,1
33,libri,1
34,journal of information technology,1
35,journal of the australian library and information association,1
36,health information and libraries journal,1
37,information resources management journal,1
38,digital library perspectives,1
39,data technologies and applications,1
40,journal of the medical library association,1
41,journal of information technology research,1
42,information research-an international electronic journal,1
43,public library quarterly,1
44,ifla journal,1
45,information technology and control,1
46,vine journal of information and knowledge management systems,1
47,big data and society,1
48,international information and library review,1
49,information retrieval journal,1
50,bottom line,1
51,library quarterly,1
52,ethics and information technology,1
53,information technology and libraries,1
54,ieee transactions on information theory,1
55,portal,1
56,open information science,1
57,transinformacao,1
58,journal of data and information science,1
59,medical reference services quarterly,1
60,education for information,1
61,journal of informetrics,1
