venue,Relevancy
ieee access,Irrelevant
international journal of environmental research and public health,Irrelevant
vaccine,Irrelevant
plos one,Irrelevant
physica a: statistical mechanics and its applications,Irrelevant
physica a-statistical mechanics and its applications,Irrelevant
computers in human behavior,Irrelevant
expert systems with applications,Irrelevant
journal of medical internet research,Irrelevant
procedia computer science,Irrelevant
information processing & management,Irrelevant
social science & medicine,Irrelevant
profesional de la informacion,Relevant
information sciences,Irrelevant
personality and individual differences,Irrelevant
security and communication networks,Irrelevant
frontiers in public health,Irrelevant
international journal of disaster risk reduction,Irrelevant
public relations review,Irrelevant
revista latina de comunicacion social,Irrelevant
frontiers in psychology,Irrelevant
digital journalism,Irrelevant
journal of applied research in memory and cognition,Irrelevant
vaccines,Irrelevant
future internet,Irrelevant
health communication,Irrelevant
knowledge-based systems,Irrelevant
publications,Relevant
social media + society,Irrelevant
heliyon,Irrelevant
journalism practice,Irrelevant
complexity,Irrelevant
children and youth services review,Irrelevant
journalism,Irrelevant
new media and society,Irrelevant
media and communication,Irrelevant
applied cognitive psychology,Irrelevant
memory,Irrelevant
proceedings of the national academy of sciences of the united states of america,Irrelevant
historia y comunicacion social,Irrelevant
feminist media studies,Irrelevant
applied soft computing,Irrelevant
applied sciences-basel,Irrelevant
new media & society,Irrelevant
sensors,Irrelevant
computers & security,Irrelevant
journal of adolescent health,Irrelevant
acta psychologica,Irrelevant
patient education and counseling,Irrelevant
technology in society,Irrelevant
journal of african media studies,Irrelevant
acm transactions on asian and low-resource language information processing,Irrelevant
preventive medicine,Irrelevant
contraception,Irrelevant
procedia - social and behavioral sciences,Irrelevant
peerj computer science,Irrelevant
societies,Irrelevant
online social networks and media,Irrelevant
information,Irrelevant
new scientist,Irrelevant
information communication & society,Irrelevant
journal of intelligent and fuzzy systems,Irrelevant
telematics and informatics,Irrelevant
proceedings of the acm on human-computer interaction,Irrelevant
multimedia tools and applications,Irrelevant
discrete dynamics in nature and society,Irrelevant
journal of language and politics,Irrelevant
ieee internet computing,Irrelevant
international journal of information management,Relevant
human vaccines and immunotherapeutics,Irrelevant
journal of adolescence,Irrelevant
international journal of advanced computer science and applications,Irrelevant
science,Irrelevant
ieee transactions on computational social systems,Irrelevant
journal of network and computer applications,Irrelevant
neurocomputing,Irrelevant
chinese physics b,Irrelevant
american journal of public health,Irrelevant
international journal of modern physics c,Irrelevant
concurrency and computation: practice and experience,Irrelevant
journal of the association for information science and technology,Relevant
journal of information science,Relevant
applied mathematics and computation,Irrelevant
american behavioral scientist,Irrelevant
atmospheric environment,Irrelevant
ksii transactions on internet and information systems,Irrelevant
frontiers in communication,Irrelevant
information (switzerland),Irrelevant
government information quarterly,Relevant
soft computing,Irrelevant
social media and society,Irrelevant
journalism studies,Irrelevant
data and information management,Irrelevant
electoral studies,Irrelevant
data,Irrelevant
future generation computer systems-the international journal of escience,Irrelevant
jmir formative research,Irrelevant
journal of management information systems,Irrelevant
journal of affective disorders,Irrelevant
science communication,Irrelevant
social network analysis and mining,Irrelevant
vivat academia,Irrelevant
bmj open,Irrelevant
international journal of medical informatics,Irrelevant
public understanding of science,Irrelevant
journal of memory and language,Irrelevant
science of the total environment,Irrelevant
journal of cleaner production,Irrelevant
applied sciences (switzerland),Irrelevant
materials today: proceedings,Irrelevant
it professional,Irrelevant
ieee transactions on information forensics and security,Partial Relevant
computational intelligence and neuroscience,Irrelevant
bulletin of the atomic scientists,Irrelevant
women's health issues,Irrelevant
current opinion in psychology,Irrelevant
jmir public health and surveillance,Irrelevant
internet research,Irrelevant
bmj global health,Irrelevant
journal of statistical physics,Irrelevant
communication and society,Irrelevant
revista espanola de comunicacion en salud,Irrelevant
journal of intelligent & fuzzy systems,Irrelevant
online information review,Relevant
electronics (switzerland),Irrelevant
computer communications,Irrelevant
the bmj,Irrelevant
javnost-the public,Irrelevant
scientific programming,Irrelevant
american journal of infection control,Irrelevant
journal of experimental child psychology,Irrelevant
entropy,Irrelevant
journal of law and the biosciences,Irrelevant
the journal of academic librarianship,Irrelevant
african journalism studies,Irrelevant
ieee transactions on knowledge and data engineering,Irrelevant
acm transactions on the web,Irrelevant
sustainability (switzerland),Irrelevant
physical review e,Irrelevant
journal of experimental psychology-applied,Irrelevant
journal of cognitive psychology,Irrelevant
communications of the acm,Irrelevant
"journal of information, communication and ethics in society",Irrelevant
brazilian journalism research,Irrelevant
international journal of drug policy,Irrelevant
ieee transactions on network science and engineering,Irrelevant
journal of computer security,Irrelevant
cadernos de letras da uff,Irrelevant
journal of infection and public health,Irrelevant
international journal of security and its applications,Irrelevant
epilepsy & behavior,Irrelevant
communications in nonlinear science and numerical simulation,Irrelevant
american journal of health promotion,Irrelevant
revista mediterranea comunicacion-journal of communication,Irrelevant
international journal of cyber warfare and terrorism,Irrelevant
atmospheric chemistry and physics,Irrelevant
political geography,Irrelevant
journal of digital media and policy,Irrelevant
logic journal of the igpl,Irrelevant
the journal for nurse practitioners,Irrelevant
journal of the american pharmacists association,Irrelevant
library & information science research,Partial Relevant
cybernetics and systems,Irrelevant
public health in practice,Irrelevant
international journal of intelligent systems,Irrelevant
comunicacion y hombre,Irrelevant
diabetes & metabolic syndrome: clinical research & reviews,Irrelevant
memory & cognition,Irrelevant
journal of business research,Irrelevant
health policy and technology,Irrelevant
acm computing surveys,Irrelevant
revista de comunicacion-peru,Irrelevant
european management journal,Irrelevant
the lancet infectious diseases,Irrelevant
social science computer review,Relevant
technological forecasting and social change,Irrelevant
vaccine: x,Irrelevant
food control,Irrelevant
child abuse & neglect,Irrelevant
mathematical biosciences and engineering,Irrelevant
journal of parallel and distributed computing,Irrelevant
psychiatry research,Irrelevant
disaster medicine and public health preparedness,Irrelevant
royal society open science,Irrelevant
journal of experimental psychology-general,Irrelevant
acm journal of data and information quality,Irrelevant
advances in difference equations,Irrelevant
computers & education,Irrelevant
jama network open,Irrelevant
journal of pediatric nursing,Irrelevant
cmc-computers materials & continua,Irrelevant
annals of the american academy of political and social science,Irrelevant
behavioral sciences,Irrelevant
communicatio-south african journal for communication theory and research,Irrelevant
sustainability,Irrelevant
online journal of communication and media technologies,Irrelevant
american journal of preventive medicine,Irrelevant
scm studies in communication and media,Irrelevant
chaos solitons & fractals,Irrelevant
universitas-revista de ciencias sociales y humanas,Irrelevant
ifac-papersonline,Irrelevant
journal of information and knowledge management,Irrelevant
information fusion,Irrelevant
international journal of cultural studies,Irrelevant
chinese journal of electronics,Irrelevant
wireless personal communications,Irrelevant
ciencia florestal,Irrelevant
"chaos, solitons & fractals",Irrelevant
symmetry-basel,Irrelevant
frontiers in physics,Irrelevant
"ieee transactions on systems, man, and cybernetics: systems",Irrelevant
first monday,Irrelevant
sociological forum,Irrelevant
revista icono 14-revista cientifica de comunicacion y tecnologias,Irrelevant
political communication,Irrelevant
pattern recognition letters,Irrelevant
electronics,Irrelevant
neural computing & applications,Irrelevant
neurobiology of learning and memory,Irrelevant
cosmopolitan civil societies,Irrelevant
computer,Irrelevant
journal of health communication,Relevant
ieee transactions on circuits and systems for video technology,Irrelevant
library hi tech,Relevant
chemosphere,Irrelevant
behavioral sciences & the law,Irrelevant
scientific reports,Irrelevant
clinical and experimental dermatology,Irrelevant
global knowledge memory and communication,Irrelevant
health security,Irrelevant
electronic library,Relevant
preventive medicine reports,Irrelevant
"cyberpsychology, behavior, and social networking",Irrelevant
science advances,Irrelevant
health education research,Irrelevant
turkish journal of electrical engineering and computer sciences,Irrelevant
jmir research protocols,Irrelevant
human vaccines & immunotherapeutics,Irrelevant
"media, culture and society",Irrelevant
ieee spectrum,Irrelevant
ieee transactions on dependable and secure computing,Irrelevant
geophysical prospecting,Irrelevant
information security journal,Irrelevant
journal of retailing and consumer services,Irrelevant
health promotion international,Irrelevant
healthcare (switzerland),Irrelevant
fisheries research,Irrelevant
epl,Irrelevant
fisheries science,Irrelevant
international economic review,Irrelevant
new england journal of medicine,Irrelevant
international journal of information security,Irrelevant
cyberpsychology behavior and social networking,Irrelevant
american journal of tropical medicine and hygiene,Irrelevant
international journal of press/politics,Irrelevant
ieee transactions on neural networks and learning systems,Irrelevant
world wide web-internet and web information systems,Irrelevant
current psychology,Irrelevant
journal of environmental sciences,Irrelevant
psychology crime & law,Irrelevant
big data & society,Irrelevant
journalism and mass communication quarterly,Irrelevant
journal of media ethics: exploring questions of media morality,Irrelevant
international journal of communication systems,Irrelevant
geophysics,Irrelevant
research in social and administrative pharmacy,Irrelevant
theoretical and practical issues of journalism,Irrelevant
reference services review,Relevant
versus-quaderni di studi semiotici,Irrelevant
journal of education and health promotion,Irrelevant
communications in theoretical physics,Irrelevant
media education-mediaobrazovanie,Irrelevant
lingua,Irrelevant
humanities & social sciences communications,Irrelevant
journal of database management,Irrelevant
journal of documentation,Relevant
internet policy review,Irrelevant
reliability engineering & system safety,Irrelevant
american journal of obstetrics and gynecology,Irrelevant
midwifery,Irrelevant
kybernetes,Irrelevant
desidoc journal of library & information technology,Irrelevant
acm transactions on information systems,Irrelevant
international affairs,Irrelevant
social sciences & humanities open,Irrelevant
intelligence and national security,Irrelevant
complex & intelligent systems,Irrelevant
future generation computer systems,Irrelevant
annals of medicine and surgery,Irrelevant
asian journal of psychiatry,Irrelevant
journal of social history,Irrelevant
international journal of infectious diseases,Irrelevant
international journal of intelligence and counterintelligence,Irrelevant
energy research & social science,Irrelevant
embo reports,Irrelevant
international history review,Irrelevant
urology,Irrelevant
health policy,Irrelevant
mass communication and society,Irrelevant
communication & society-spain,Irrelevant
social sciences-basel,Irrelevant
journal of migration and health,Irrelevant
medijske studije-media studies,Irrelevant
clinical epidemiology and global health,Irrelevant
energy policy,Irrelevant
revista cidob d afers internationals,Irrelevant
ices journal of marine science,Irrelevant
psychological reports,Irrelevant
computer journal,Irrelevant
food policy,Irrelevant
adcomunica-revista cientifica de estrategias tendencias e innovacion en communicacion,Irrelevant
appetite,Irrelevant
communication research,Irrelevant
cosmopolitan civil societies-an interdisciplinary journal,Irrelevant
ieee systems journal,Irrelevant
international review of financial analysis,Irrelevant
intelligent automation and soft computing,Irrelevant
comunicar,Irrelevant
public opinion quarterly,Irrelevant
journal of contingencies and crisis management,Irrelevant
preventive veterinary medicine,Irrelevant
ocean & coastal management,Irrelevant
journal of digital media & policy,Irrelevant
public health,Irrelevant
journal of information & optimization sciences,Irrelevant
nurse leader,Irrelevant
international journal of computational intelligence systems,Irrelevant
cuadernos info,Irrelevant
journal of international criminal justice,Irrelevant
information systems frontiers,Irrelevant
cancer,Irrelevant
journal of business and technical communication,Irrelevant
atmosphere,Irrelevant
acm transactions on intelligent systems and technology,Irrelevant
pan african medical journal,Irrelevant
ieee transactions on big data,Irrelevant
mathematics,Irrelevant
revista estudos institucionais-journal of institutional studies,Irrelevant
annals of internal medicine,Irrelevant
international journal of electrical and computer engineering,Irrelevant
journal of computational science,Irrelevant
physical review research,Irrelevant
applied intelligence,Irrelevant
journal of environmental psychology,Irrelevant
frontiers in digital health,Irrelevant
information systems,Irrelevant
catalan journal of communication & cultural studies,Irrelevant
palabra clave,Irrelevant
global health promotion,Irrelevant
aerosol and air quality research,Irrelevant
international journal of biological macromolecules,Irrelevant
concurrency and computation-practice & experience,Irrelevant
revista de comunicacion de la seeci,Irrelevant
cognitive processing,Irrelevant
ieee sensors journal,Irrelevant
theoretical computer science,Irrelevant
nursing outlook,Irrelevant
encontros bibli-revista eletronica de biblioteconomia e ciencia da informacao,Irrelevant
em questao,Irrelevant
eclinicalmedicine,Irrelevant
international review of the red cross,Irrelevant
doxa comunicacion,Irrelevant
atoz-novas praticas em informacao e conhecimento,Irrelevant
"brain, behavior, & immunity - health",Irrelevant
"election law journal: rules, politics, and policy",Irrelevant
public relations inquiry,Irrelevant
inquiry-an interdisciplinary journal of philosophy,Irrelevant
ieee transactions on multimedia,Irrelevant
behaviour & information technology,Irrelevant
computer networks,Irrelevant
journal of organizational computing and electronic commerce,Irrelevant
journal of supercomputing,Irrelevant
pattern analysis and applications,Irrelevant
media international australia,Irrelevant
cognition,Irrelevant
jmir medical informatics,Irrelevant
journal of arab and muslim media research,Irrelevant
decision support systems,Irrelevant
journal of management education,Irrelevant
internet interventions,Irrelevant
journal of communication,Irrelevant
journal of universal computer science,Irrelevant
peer-to-peer networking and applications,Irrelevant
cognitive research-principles and implications,Irrelevant
communication review,Irrelevant
the journal of emergency medicine,Irrelevant
ajil unbound,Irrelevant
world neurosurgery,Irrelevant
clinical microbiology and infection,Irrelevant
information processing letters,Irrelevant
global media and china,Irrelevant
decision analysis,Irrelevant
canadian journal of fisheries and aquatic sciences,Irrelevant
information & management,Irrelevant
quarterly journal of experimental psychology,Irrelevant
knowledge and information systems,Irrelevant
mayo clinic proceedings,Irrelevant
estudios sobre el mensaje periodistico,Irrelevant
hau-journal of ethnographic theory,Irrelevant
folklore (estonia),Irrelevant
international journal of information technology & decision making,Irrelevant
software-practice & experience,Irrelevant
women and birth,Irrelevant
international journal of psychophysiology,Irrelevant
journal of modern european history,Irrelevant
proceedings of the vldb endowment,Irrelevant
journal of information processing systems,Irrelevant
social and personality psychology compass,Irrelevant
social psychological and personality science,Irrelevant
discrete and continuous dynamical systems-series b,Irrelevant
chemistry-a european journal,Irrelevant
journal of applied communication research,Irrelevant
vestnik tomskogo gosudarstvennogo universiteta filologiya-tomsk state university journal of philology,Irrelevant
international journal of hospitality management,Irrelevant
"computers, materials and continua",Irrelevant
journal of systems and software,Irrelevant
petroleum geoscience,Irrelevant
journal of geophysical research: space physics,Irrelevant
asian survey,Irrelevant
epj data science,Irrelevant
computers & operations research,Irrelevant
big data and cognitive computing,Irrelevant
journal of media ethics,Irrelevant
clinical infectious diseases : an official publication of the infectious diseases society of america,Irrelevant
european journal of scandinavian studies,Irrelevant
frontiers in political science,Irrelevant
chemical geology,Irrelevant
islam and christian-muslim relations,Irrelevant
nutrients,Irrelevant
journal of product and brand management,Irrelevant
alexandria engineering journal,Irrelevant
journal of advanced military studies,Irrelevant
integrative medicine research,Irrelevant
international journal of e-politics,Irrelevant
communication culture & critique,Irrelevant
networks and heterogeneous media,Irrelevant
group processes & intergroup relations,Irrelevant
information technology and people,Relevant
howard journal of communications,Irrelevant
european journal of communication,Irrelevant
convergence-the international journal of research into new media technologies,Irrelevant
journal of king saud university-computer and information sciences,Irrelevant
postmodern openings,Irrelevant
tourism management,Irrelevant
digital investigation,Irrelevant
religions,Irrelevant
world development,Irrelevant
geoforum,Irrelevant
the extractive industries and society,Irrelevant
faseb journal : official publication of the federation of american societies for experimental biology,Irrelevant
veterinary record,Irrelevant
journal of pragmatics,Irrelevant
procesamiento del lenguaje natural,Irrelevant
